abstract,author,citation_key,doi,entry_type,issn,journal,keywords,note,number,pages,title,url,volume,year
"Recognizing medicinal plants from images is crucial for biodiversity conservation and drug discovery, yet existing datasets are scarce and geographically limited. Ancient Bengal's medical system, Ayurveda, Unani, and Homeopathy, prominently rely on medicinal plants as natural product-based drugs. In this work, we present BDHerbalPlants, a curated dataset comprising 1792 high-quality images of 8 species of herbal plants native to Bangladesh. We benchmark five modern CNN-driven frameworks (EfficientNet-B3, EfficientNetV2-S, RegNetY-3.2GF, Xception, DenseNet201) and a transformer model (ViT-Base), along with a custom hybrid CNN to analyze performance variability. The models were optimized with Adam optimizer, cross-entropy loss, and training methodologies including early stopping and learning rate scheduling. We evaluate the impact of augmentation by comparing raw data training results (accuracy ranging from 96% to 99%) with augmented data training performance (accuracy ranging from 98% to 99.5%). ViT-Base gains the highest accuracy on raw data (99.3%, F1 score = 0.991), while with augmentation, Xception has the highest accuracy (99.5%, F1 score = 0.997). To interpret the models’ decisions, we apply LIME to the top-performing model, revealing the leaf regions with the most critical patterns and validating the models' emphasis on botanical features. Lastly, we demonstrate real-time inference via a Hugging Face Space, enabling user-friendly plant identification in field conditions. We demonstrate that in a consistent training protocol, model choice and augmentation have an influence on performance, and XAI and real-time deployment offer clarity and usefulness in the field of recognition.",Sunzil Khandaker and Md Mizanur Rahman and AKM Azad and Mohammad Ali Moni and Md. Ali Hossain,KHANDAKER2026101862,https://doi.org/10.1016/j.atech.2026.101862,article,2772-3755,Smart Agricultural Technology,"Computer vision, Agriculture science, Data augmentation, Deep cnn, Explainable ai, Medicinal Plant Recognition, BDHerbalPlants",,,101862,Transparent deep learning for medicinal plant recognition: A hybrid CNN–ViT approach with explainable AI on BDHerbalPlants,https://www.sciencedirect.com/science/article/pii/S2772375526000869,14,2026
"Sexual dimorphism is prevalent in crustaceans, and in crabs, it can be observed in body size, carapace shape, and larger and differently shaped claws in males, among other traits. With the advancement of artificial intelligence (AI), automatic sex classification is now possible by leveraging these differential traits between males and females. Traditionally, most research has relied on analysing the entire crab to classify its sex. Subsequently, studies have focused on specific features, such as the abdominal flap or carapace, which facilitate sex differentiation by humans. However, human intervention creates a significant labelling burden and constrains the exploration of other potentially valuable characteristics for research. In this study, a novel framework is introduced for automatic sex classification in crabs. Unlike traditional approaches that rely heavily on manual labelling and predefined features such as abdominal flaps, our framework minimizes human intervention and enables the model to autonomously highlight image regions most informative for classification. This draws attention to underutilized morphological regions that may be useful for sex classification without requiring prior biological knowledge. Furthermore, the framework provides visual explanations of the model’s decisions, enhancing interpretability. Using this approach, we achieved a classification accuracy of 95.4%, while also pinpointing specific regions contributing to the decision-making process.",Yanyu Chen and Wenli Yang and Scott Hadley and Rafael León Leiva and Quan Bai and Byeong Ho Kang,CHEN2025110989,https://doi.org/10.1016/j.compag.2025.110989,article,0168-1699,Computers and Electronics in Agriculture,"Sex classification, Automatic annotations, Sex dimorphism, Model decisions, Explainable AI, Self-learning",,,110989,A self-learning based explainable AI framework for giant crab sex classification,https://www.sciencedirect.com/science/article/pii/S0168169925010956,239,2025
"The problem of retinal disease progression prediction based on Optical Coherence Tomography (OCT) data represents one of the key problems of biomedical engineering related to the development of algorithms that would help to detect retinal biomarkers characteristic of diseases and predict their progression. Traditionally, engineers rely on preprocessing and a deep learning model to make predictions. However, the traditional approach is often associated with some limitations due to the inability to highlight clinically meaningful characteristics of retinas. Therefore, this research proposes pathology-based preprocessing and a multi-model ensemble of Convolutional Neural Networks that will be able to emphasize certain clinical characteristics, such as vascular bulge enhancement, fluid accumulation accentuation, and debris highlighting with structure delineation. When experimenting on a selected dataset, it was found that their technique allows reaching 99.58% accuracy, 99.61% sensitivity, and 99.55% specificity, outperforming conventional CLAHE-based and bandpass-filtered approaches. Even though these numbers look impressive, additional research is needed to confirm the effectiveness of the model because currently, the algorithm was tested on a relatively small sample size and without involving clinical experts in the study. Hence, the presented research proves that there is substantial potential in disease-specific engineering in terms of creating more effective OCT models.",Mohanraj T and Karthika R and Raahul L S and Koushik B and Dhayadharsh SM,T2026110653,https://doi.org/10.1016/j.rineng.2026.110653,article,2590-1230,Results in Engineering,"Optical Coherence Tomography (OCT), Image Classification, Deep Learning, Convolutional Neural Networks, Ensemble Approach",,,110653,Advancements in Deep Learning-Based Classification of Optical Coherence Tomography Images in Ophthalmology,https://www.sciencedirect.com/science/article/pii/S2590123026016877,,2026
"Detecting plant diseases and providing timely treatment are crucial for ensuring sustainable agricultural productivity. With advances in deep learning, computer vision techniques for crop science have seen rapid growth. This paper introduces a TinyML-based model designed for real-time detection of diseases in apple and mango leaves, utilizing the MobileNetV2 architecture, which is optimized for deployment on edge devices. The model’s performance was assessed using key metrics, achieving an accuracy of 93.1%, along with high precision, recall, specificity, and an F1 score of 93.1%. It outperforms other models like ResNet-50, VGGNet-16, and AlexNet in identifying and classifying both healthy and diseased leaves, demonstrating its potential for real-time agricultural use. By optimizing the model for low-power devices, it becomes suitable for use in remote, resource-constrained areas, offering a valuable solution for improving crop management and fostering sustainable farming practices. Future developments will focus on extending the model to detect a wider variety of crops and diseases, integrating sensor data, and conducting field trials to validate its real-world effectiveness.",Ishana Attri and Lalit Kumar Awasthi and T.P Sharma,ATTRI20252870,https://doi.org/10.1016/j.procs.2025.04.547,article,1877-0509,Procedia Computer Science,"TinyML, Plant Disease Detection, MobileNetV2, Edge AI, Agricultural Technology",International Conference on Machine Learning and Data Engineering,,2870-2877,TinyML for Plant Disease Detection: Efficient Edge AI Solutions for Apple and Mango Leaves,https://www.sciencedirect.com/science/article/pii/S1877050925016515,258,2025
"Smart or precision viticulture (PV) relies on technology-driven methods towards sustainable productivity. With recent advancements in artificial intelligence (AI), particularly to support computer vision tasks, PV has gained enhanced capabilities, allowing computational entities to complement human observations and insights, thus promoting cutting-edge decision support. Focusing on such context, this paper reviews and synthesizes recent advances in AI-powered grape cluster detection in modern viticulture, aiming at objective and scalable solutions to optimize crop-related processes. Primarily, some of the fundamental concepts of image analysis are surveyed, describing steps involved in image capture, both in 2D and 3D, and pre-processing to advanced feature engineering. Also, AI methodologies are discussed in detail, ranging from classical machine learning algorithms to more sophisticated and reliable deep learning (DL) methods, including convolutional neural networks (CNNs) to process data with spatial complexity. Additionally, contributions of AI for smart viticulture-related business processes are identified under relevant perspectives such as integrability with other technologies supporting distinct operational dimensions (e.g., enterprise resource planning, supply-chain management, robotics), resource efficiency, cost savings, scalability, and considerations regarding return on investment (ROI). Lastly, existing technical issues, such as environmental variability and challenging data needs, as well as the general industry-adoption obstacles, are covered along with a summary of future research directions that include multimodal data fusion and more generalizable AI models for a more sustainable and efficient globalized viticulture.",Agnieszka Chojka and Telmo Adão and David Pascoal and Nuno Silva and Emanuel Peres and Raul Morais,CHOJKA2026688,https://doi.org/10.1016/j.procs.2026.03.040,article,1877-0509,Procedia Computer Science,"precision viticulture, sustainable viticulture, artificial intelligence, deep learning, yield estimation, business process optimization, return on investment",CENTERIS - International Conference on ENTERprise Information Systems / ProjMAN - International Conference on Project MANagement / HCist - International Conference on Health and Social Care Information Systems and Technologies,,688-699,AI-Powered Grape Cluster Detection in Vineyards: A Systematic Review from Image Analysis to Business Process Optimization in Smart Viticulture,https://www.sciencedirect.com/science/article/pii/S1877050926006320,278,2026
"Efficient insect detection in agricultural fields is crucial for crop health and yield optimization. Traditional image-based methods often struggle with generalization and computational cost. This paper presents a novel framework combining feature selection and explainable artificial intelligence (XAI) to enhance detection accuracy, efficiency, and interpretability. Using a curated dataset comprising 3000 annotated images of pests and beneficial insects collected from diverse agricultural environments, we evaluated three feature selection techniques—Mutual Information (MI), Recursive Feature Elimination (RFE), and Principal Component Analysis (PCA). RFE achieved a 40% reduction in feature space, resulting in a 12% improvement in classification accuracy and a 35% reduction in inference time. Our optimized MobileNetV2 model achieved 93.4% accuracy, with a precision of 92.8%, recall of 91.7%, and F1-score of 92.2%. Explainable AI techniques such as SHAP and LIME were employed to visualize and interpret model decisions, thereby ensuring transparency and trust in model predictions. The proposed framework demonstrates superior performance and interpretability over conventional methods, paving the way for real-time, farmer-friendly pest management systems deployable on low-power devices.",Nibedita Deb and Tawfikur Rahman,DEB2026102604,https://doi.org/10.1016/j.jafr.2025.102604,article,2666-1543,Journal of Agriculture and Food Research,"Insect detection, Feature selection, Explainable artificial intelligence, Deep learning, Agricultural monitoring, MobileNetV2",,,102604,Lightweight CNN and MobileNetV2 with feature selection and explainable AI for efficient insect detection in potato plants,https://www.sciencedirect.com/science/article/pii/S2666154325009755,25,2026
"Macular edema (ME) is one of the most common retinal diseases that occur as a result of the detachment of the retinal layers on the macula. This study provides computer-aided identification of ME for even small pathologies on OCT using the advantages of Deep Learning. The study aims to identify ME on OCT images using a lightweight explainable Convolutional neural networks (CNN) architecture by composing significant feature activation maps and reducing the trainable parameters. A CNN is an effective Deep Learning algorithm, which consists of feature learning and classification stages. The proposed model, DeepOCT, focuses on reaching high classification performances as well as popular pre-trained architectures using less feature learning and shallow dense layers in addition to visualizing the most responsible regions and pathology on feature activation maps. The DeepOCT encapsulates the block-matching and 3D filtering (BM3D) algorithm, flattening the retinal layers to avoid the effects arising from different macula positions, and excluding non-retinal layers by cropping. DeepOCT identified OCT with ME with the rates of 99.20%, 100%, and 98.40% for accuracy, sensitivity, and specificity, respectively. The DeepOCT provides a standardized analysis, a lightweight architecture by reducing the number of trainable parameters, and high classification performances for both large- and small-scale datasets. It can analyze medical images at different levels with simple feature learning, whereas the literature uses complicated pre-trained feature learning architectures.",Gokhan Altan,ALTAN2022101091,https://doi.org/10.1016/j.jestch.2021.101091,article,2215-0986,"Engineering Science and Technology, an International Journal","Deep learning, Convolutional neural networks, Optical coherence tomography, Macular edema, DeepOCT",,,101091,DeepOCT: An explainable deep learning architecture to analyze macular edema on OCT images,https://www.sciencedirect.com/science/article/pii/S2215098621002238,34,2022
"Dromedary camels exhibit behavioral responses influenced by both physiological conditions and environmental factors. Poor health, physical or emotional, can manifest as behavioral abnormalities. This study aims to build a video-based stress detection model by analyzing camel behavior under different conditions. Camels from Marmoom Farm, UAE, were observed over eight days: six days included interventions such as blood collection and/or intensive training, and two days followed their typical routine. Video footage was captured from three cameras positioned around the enclosures and pens. Using the YOLOv8 architecture, we developed a model to classify normal behaviors - “standing”, “sitting”, “sleeping” and stress-related behaviors - “distressed sitting”, “moving around uncontrollably”, “pulling on rope”. The model obtained a precision of 0.971, recall of 0.959, mAP50 of 0.985, and mAP50–95 of 0.924. Four camels were closely monitored to analyze correlations between behavioral stress indicators and activities such as blood sampling, race training, and environmental conditions. Results indicate that while high-intensity training often induces stress, individual endurance levels and external factors like weather also significantly influence stress responses. This study presents a novel, automated method for early stress detection in camels, contributing to improved animal welfare and farm management practices.",Hiba Moideen and Manar Abu Talib and Nabil Mansour and Shaher Bano Mirza and Ali Bou Nassif and Simon Zerisenay Ghebremeskel and Fouad Lamghari and Yaman Afadar and Takua Mokhamed,MOIDEEN2025103292,https://doi.org/10.1016/j.ecoinf.2025.103292,article,1574-9541,Ecological Informatics,"Deep learning, Camel welfare, Object detection, Dromedary camels, Convolutional neural network, Behavior analysis",,,103292,Detecting stress parameters in dromedary camels using computer vision,https://www.sciencedirect.com/science/article/pii/S1574954125003012,90,2025
"Skin cancer remains one of the most prevalent forms of cancer worldwide, highlighting the critical need for accurate and automated diagnostic systems to support early detection and improve patient outcomes. This study presents a deep learning-based framework for multi-class classification of dermoscopic skin lesion images using the HAM10000 dataset. A range of state-of-the-art convolutional neural networks (CNNs) — including DenseNet201, InceptionResNetV2, and Xception — were evaluated under both frozen and fully fine-tuned configurations. Additionally, the performance of Vision Transformer (ViT) architectures was assessed to examine their potential in skin lesion analysis. To enhance classification performance, ensemble learning strategies — namely hard voting, soft voting, and weighted soft voting — were implemented. Experimental results indicate that fully fine-tuned models outperform their frozen counterparts, with InceptionResNetV2(full) achieving the best individual performance with accuracy of 0.88% and F1-score of 0.77%. The highest overall performance was obtained using the proposed weighted soft voting ensemble, yielding an accuracy of 0.89% and an F1-score of 0.80%. These findings demonstrate the effectiveness of ensemble methods and transfer learning based models in advancing automated skin lesion classification. Moreover, the results highlight the potential and limitations of each architecture in clinical applications and provide valuable insights for future research in computer-aided dermatological diagnosis.",Hasan Erbay and Yassen Mohamed Abulgasim and Doğan Eren Özer and Fatih Ertürk,ERBAY2025102145,https://doi.org/10.1016/j.jestch.2025.102145,article,2215-0986,"Engineering Science and Technology, an International Journal","Skin cancer, Deep learning, Ensemble learning, Transfer learning, Vision Transformers, HAM10000",,,102145,Enhancing multi-class skin lesion diagnosis through ensemble learning of CNN and transformer architectures,https://www.sciencedirect.com/science/article/pii/S2215098625002009,70,2025
"Invasive species such as the Spotted Lanternfly (SLF, Lycorma delicatula) pose significant ecological and economic threats worldwide. This study introduces bioWatch, an AI-powered mobile application designed to address the challenges of invasive species detection, monitoring, and management. The application utilizes a YOLO11n deep learning model, trained on 1161 annotated images, to classify SLF across three life stages: adult, early nymph, and late nymph. In testing, the model achieved an overall precision of 0.854 and an mAP@50 of 0.589. Early and late nymph stages demonstrated strong classification performance, with mAP@50 values of 0.834 and 0.811, respectively. Although the recall for the early nymph stage was lower (0.600), the model exhibited robust performance for adults and late nymphs (recalls of 0.730 and 0.896, respectively). The egg stage, while included in training, showed limited detection performance (precision of 1.000, recall of 0.000) due to severe class imbalance in the dataset (only seven annotated instances), rather than limitations of the model architecture. This model serves as a baseline to support the deployment of the bioWatch application, which is designed for modular integration and future updates. bioWatch integrates geospatial mapping, augmented reality, explainable AI visualization, and gamification features to enhance user engagement, with early user feedback highlighting its potential for biodiversity monitoring and K–12 education.",Yanqiu Yang and Kittiphum Pawikhum,YANG2026101688,https://doi.org/10.1016/j.atech.2025.101688,article,2772-3755,Smart Agricultural Technology,"Spotted lanternfly (SLF), Invasive species detection, Artificial intelligence (AI), Geospatial mapping, YOLO algorithm, Explainable AI (XAI), K-12 education",,,101688,bioWatch: a computer vision system for community-based identification and reporting of spotted lanternfly life stage,https://www.sciencedirect.com/science/article/pii/S2772375525009190,13,2026
"Skin disease cases are becoming more common, and diagnosing these diseases in a clinic is never an easy task. A deep learning (DL) based model was previously used to diagnose skin-related disorders; this may help to address these problems. But lately, the transformer model has become more well-liked and effective for computer vision applications such as image identification and skin condition detection. Consequently, vision transformers (ViT), which have shown exceptional performance in conventional classification tasks, were used in the present study. The goal of self-attention is to enhance the significance of key elements while muting distracting ones. More specifically, YoTransViT, an enhanced transformer network, is suggested. The suggested ViT structures with image augmentation and segmentation methods were applied to the ISIC 2019 dataset. We also assessed the effectiveness of our suggested method using an alternative transformer model, the swin transformer (SwinViT). In addition to some of the most well-known conventional neural network (CNN) designs, such as MobileNetV2, InceptionResNetV2 and DenseNet201 hence creating a baseline for our suggested framework through comparison. Eight different types of dermatological issues are used in this study. Various metrics for performance evaluation are computed to confirm the effectiveness of our method. The results demonstrated the efficiency of our suggested methodology, as ViT used image segmentation and augmentation approaches to reach a classification accuracy of 99.97% and precision of 100%. The transformer network has shown remarkable performance in this system for predicting skin diseases and has the potential to be extremely important in the field of computer vision. Lastly, we established and put into practice a web-based architecture called YoTransViT for the real-time prediction of skin diseases.",Dip Kumar Saha and Ashif Mahmud Joy and Anup Majumder,SAHA2024101495,https://doi.org/10.1016/j.imu.2024.101495,article,2352-9148,Informatics in Medicine Unlocked,"Skin disease, Vision transformer, Segmentation and augmentation, Computer vision, Classification",,,101495,YoTransViT: A transformer and CNN method for predicting and classifying skin diseases using segmentation techniques,https://www.sciencedirect.com/science/article/pii/S2352914824000510,47,2024
"Timely identification of oyster mushroom maturity is critical for optimizing harvest schedules, improving quality, and reducing post-harvest losses. This paper presents a real-time monitoring framework that integrates lightweight deep learning with explainable artificial intelligence (XAI). Using a curated dataset of 20,000 annotated CCTV images collected under diverse cultiva- tion conditions, we evaluate multiple architectures including EfficientNet, DenseNet, VGG, and Vision Transformers. Among these, a ShuffleNetV2 model enhanced with a self-attention mechanism achieved superior perfor- mance, reaching 99.70 % accuracy through 10-fold cross-validation while main- taining a compact size of 1.3 M parameters. This efficiency enables deploy- ment on edge devices suitable for smart farms. To ensure transparency, XAI techniques such as Grad-CAM, Grad-CAM++, EigenCAM, and LIME were applied, revealing biologically meaningful regions used in decision-making. The system was further integrated with real-time CCTV streams, demon- strating feasibility for on-farm maturity classification with low latency. By combining accuracy, efficiency, and interpretability, the proposed framework offers a scalable solution for precision agriculture and contributes a reusable model for intelligent mushroom cultivation systems.",Redown Ahmed and Tasnuva Tasnim Nova and Taniz Fatema Jarin and Md Miskat Hossain and Karib Shams and Mohammad Rifat Ahmmad Rashid,AHMED2025101571,https://doi.org/10.1016/j.atech.2025.101571,article,2772-3755,Smart Agricultural Technology,"Oyster mushroom maturity, ShuffleNetV2, EfficientNetB0, EfficientNetB3, DenseNet201, Vision transformer, Ensembling, Grad-CAM, Grad-CAM++, EigenCAM, LIME, Explainable AI, Smart farming, Real-time classification, Self-attention",,,101571,Real-time monitoring of oyster mushroom cultivation using CCTV and attention-enhanced ShuffleNet-based explainable AI techniques,https://www.sciencedirect.com/science/article/pii/S2772375525008020,12,2025
"Guava (Psidium guajava) faces significant threats from leaf diseases that compromise its yield and quality. Traditional diagnostic methods that rely on manual inspection are inefficient and subjective, necessitating automated solutions. This study introduces a robust ensemble deep learning framework for guava leaf disease classification by combining hybrid data augmentation with advanced architectures to address the variability in environmental conditions and imaging. A dataset of 2,063 guava leaf images in five categories was expanded using traditional geometric augmentation and synthetic GAN-generated images. Seven state-of-the-art deep learning models, and Vision Transformer B16) were evaluated, with InceptionV3 (92.50% accuracy on GAN data) and ResNet50 (93.12% accuracy on augmented data) selected for their complementary strengths. A multi-channel model fused their features, achieving a 97.50% test accuracy, 0.975 F1-score, and 0.9934 AUC. The results demonstrate the viability of integrating CNNs with transformer architectures under unified augmentation strategies, thereby offering a scalable solution for real-time field deployment.",Osman Güler and Taha Etem and Mustafa Teke,GULER2025103716,https://doi.org/10.1016/j.asej.2025.103716,article,2090-4479,Ain Shams Engineering Journal,"Guava leaf disease classification, Ensemble deep learning, GAN-based augmentation, Explainable AI, Agricultural computer vision",,11,103716,Hybrid augmentation for multi-channel deep learning in guava leaf disease detection,https://www.sciencedirect.com/science/article/pii/S2090447925004575,16,2025
"Tomato is one of the most economically significant horticultural crops worldwide, yet its cultivation is frequently hindered by foliar diseases such as Late Blight, Bacterial Spot, and Septoria Leaf Spot. These diseases not only reduce yield but also result in substantial financial losses, particularly for smallholder farmers. Traditional manual inspection methods are labor-intensive and error-prone, highlighting the need for automated and accurate disease detection systems. While image classification models have been widely explored for plant disease identification, they often fail to capture spatial symptom details, leading to reduced interpretability and accuracy—especially for visually ambiguous diseases. In this study, we propose an object detection-based approach to localize and identify tomato leaf diseases more effectively. To facilitate this, we introduce a novel, regionally diverse dataset comprising nine common tomato diseases collected across three Bangladeshi regions over three months. We benchmark a range of classification and object detection models, demonstrating that YOLO-v9 achieves superior performance (F1-score: 97.86, mean Average Precision (mAP): 79.44). Furthermore, for real-time deployment on resource-constrained edge devices, we present YOLO-v8-CSwin, a lightweight model with competitive accuracy and significantly fewer parameters (11.12M). Our findings highlight the advantages of object detection over classification for plant disease diagnosis and offer practical insights for deploying AI-driven solutions in real-world agricultural settings.",Fahim Mahafuz Ruhad and Md Fahim and Mir Sazzat Hossain and Md. Fahad Monir and Ashraful Islam and M. Ashraful Amin,RUHAD2025101336,https://doi.org/10.1016/j.atech.2025.101336,article,2772-3755,Smart Agricultural Technology,"Classification, Detection, Leaf detection, Edge computing, Leaf disease detection",,,101336,Beyond classification: Benchmarking object detection models for efficient tomato leaf disease identification on a real-world dataset,https://www.sciencedirect.com/science/article/pii/S2772375525005672,12,2025
"In precision agriculture, accurate and timely identification of plant disease severity is essential for optimizing crop yield and health. However, current methods often face challenges such as high computational cost and reduced accuracy in resource-constrained environments, limiting their practical use on farms. To address these limitations, we propose RSD-YOLO, an improved YOLOv7-tiny model that integrates a Regularized Xception-based Network (ReXNet), a Slim-Neck module, and a Decoupled Head—together forming the RSD design. We construct a dataset of 1,010 oat leaf images, categorized into five severity levels and annotated by experts. RSD-YOLO achieves 91.6% precision, 90.8% recall, and 88.5% mAP@0.5, significantly outperforming YOLOv7-tiny by up to 10%, while maintaining a computational cost of only 11.2 GFLOPs. Recent studies have applied lightweight models such as EfficientSAM and SwiftFormer for crop health monitoring on drones and edge devices. However, these models often struggle to balance accuracy and efficiency. In contrast, RSD-YOLO achieves higher performance with lower computational cost, making it well-suited for real-time deployment in agricultural environments.",Yongquan Zhang and Yiwei Xu and Taosheng Xu and Changmiao Wang and Chengdao Li and Hai Wang,ZHANG2025101433,https://doi.org/10.1016/j.atech.2025.101433,article,2772-3755,Smart Agricultural Technology,"YOLOv7-tiny, Oat crop diseases, Oat disease severity identification, Regularized Xception-based network, Decoupled head structure",,,101433,RSD-YOLO: An improved YOLOv7-tiny framework for oat disease severity identification with integration of ReXNet and decoupled head,https://www.sciencedirect.com/science/article/pii/S2772375525006641,12,2025
"Introduction Cardiovascular disease remains a leading cause of mortality worldwide, with atherosclerosis at its core. Accurate identification of vulnerable plaques is critical for preventing acute cardiovascular events. While optical coherence tomography (OCT) provides high-resolution imaging of plaque features, manual analysis is labor-intensive and operator-dependent. This study addresses the need for automated, accurate segmentation of atherosclerotic plaques in OCT pullbacks using advanced machine learning (ML) techniques. Methods A comprehensive multi-center dataset of OCT pullbacks, encompassing 103 patients and annotated for key plaque morphological features (lumen, fibrous cap, lipid core, and vasa vasorum), was used to tune, train and evaluate nine ML models, including U-Net, U-Net++, DeepLabV3, DeepLabV3+, FPN, LinkNet, PSPNet, PAN, and MA-Net. To address dataset imbalances and optimize performance for each plaque feature, we introduced a hybrid segmentation strategy: single-class models were deployed for highly prevalent features (e.g., lumen) and underrepresented classes (e.g., vasa vasorum), while a multi-class model targeted morphologically complex features with overlapping boundaries (e.g., fibrous cap and lipid core). Hyperparameter tuning was performed using Bayesian optimization, and segmentation accuracy was assessed with the Dice Similarity Coefficient (DSC) and other metrics. Results The models achieved high segmentation accuracy for lumen (DSC: 0.987), fibrous cap (DSC: 0.736), and lipid core (DSC: 0.751), demonstrating the potential of leveraging ML techniques to enhance OCT's diagnostic capabilities. While lumen segmentation showed exceptional precision, the moderate accuracy for fibrous cap and lipid core highlights challenges with complex morphologies. Satisfactory results for vasa vasorum (DSC: 0.610) suggest areas for further refinement. By integrating these models into a weighted ensemble, taking into account class prevalence and model confidence, the combined system achieved a weighted DSC of 0.882 across all plaque features, a significant improvement over individual models. These findings confirm the hybrid strategy's ability to balance computational efficiency with accuracy through rigorous optimization, tailored model selection, and ensemble integration. Conclusion This study presents a robust ML-driven framework for automated OCT segmentation that uses a hybrid approach and weighted ensemble learning to address class imbalance and feature complexity, significantly improving the accuracy and efficiency of atherosclerotic plaque analysis. The findings suggest potential clinical implications, including improved detection of high-risk plaques and enhanced decision-making in cardiovascular care. However, further prospective validation is required before clinical adoption. Future research should focus on expanding datasets, integrating multimodal imaging, and refining models for real-time clinical use, paving the way for transformative advancements in cardiovascular diagnostics.",Viacheslav V. Danilov and Vladislav V. Laptev and Kirill Yu. Klyshnikov and Ivan S. Bessonov and Nikita V. Litvinyuk and Evgeny A. Ovcharenko and Nikita A. Kochergin,DANILOV2025111061,https://doi.org/10.1016/j.compbiomed.2025.111061,article,0010-4825,Computers in Biology and Medicine,"Atherosclerosis, Optical coherence tomography, Machine learning, Deep learning, Plaque segmentation, Cardiovascular diagnostics, Automated imaging, Vulnerable plaque",,,111061,Segmentation and quantification of atherosclerotic plaques in optical coherence tomography,https://www.sciencedirect.com/science/article/pii/S0010482525014131,197,2025
"Wrist pathologies, particularly fractures common among children and adolescents, present a critical diagnostic challenge. While X-ray imaging remains a prevalent diagnostic tool, the increasing misinterpretation rates highlight the need for more accurate analysis, especially considering the lack of specialized training among many surgeons and physicians. Recent advancements in deep convolutional neural networks offer promise in automating pathology detection in trauma X-rays. However, distinguishing subtle variations between pediatric wrist pathologies in X-rays remains challenging. Traditional manual annotation, though effective, is laborious, costly, and requires specialized expertise. In this paper, we address the challenge of pediatric wrist pathology recognition with a fine-grained approach, aimed at automatically identifying discriminative regions in X-rays without manual intervention. We refine our fine-grained architecture through ablation analysis and the integration of LION. Leveraging Grad-CAM, an explainable AI technique, we highlight these regions. Despite using limited data, reflective of real-world medical study constraints, our method consistently outperforms state-of-the-art image recognition models on both augmented and original (challenging) test sets. Our proposed refined architecture achieves an increase in accuracy of 1.06% and 1.25% compared to the baseline method, resulting in accuracies of 86% and 84%, respectively. Moreover, our approach demonstrates the highest fracture sensitivity of 97%, highlighting its potential to enhance wrist pathology recognition.",Ammar Ahmed and Ali Shariq Imran and Zenun Kastrati and Sher Muhammad Daudpota and Mohib Ullah and Waheed Noor,AHMED2024109044,https://doi.org/10.1016/j.compbiomed.2024.109044,article,0010-4825,Computers in Biology and Medicine,"Fine-grained visual classification, Wrist X-ray imaging, Explainable artificial intelligence (XAI), Fracture recognition, Medical, Deep learning",,,109044,Learning from the few: Fine-grained approach to pediatric wrist pathology recognition on a limited dataset,https://www.sciencedirect.com/science/article/pii/S0010482524011296,181,2024
"Silicosis, a debilitating occupational lung disease caused by inhaling crystalline silica, continues to be a significant global health issue, especially with the increasing use of engineered stone (ES) surfaces containing high silica content. Traditional diagnostic methods, dependent on radiological interpretation, have low sensitivity, especially, in the early stages of the disease, and present variability between evaluators. This study explores the efficacy of deep learning techniques in automating the screening and staging of silicosis using chest X-ray images. Utilizing a comprehensive dataset, obtained from the medical records of a cohort of workers exposed to artificial quartz conglomerates, we implemented a preprocessing stage for rib-cage segmentation, followed by classification using state-of-the-art deep learning models. The segmentation model exhibited high precision, ensuring accurate identification of thoracic structures. In the screening phase, our models achieved near-perfect accuracy, with ROC AUC values reaching 1.0, effectively distinguishing between healthy individuals and those with silicosis. The models demonstrated remarkable precision in the staging of the disease. Nevertheless, differentiating between simple silicosis and progressive massive fibrosis, the evolved and complicated form of the disease, presented certain difficulties, especially during the transitional period, when assessment can be significantly subjective. Notwithstanding these difficulties, the models achieved an accuracy of around 81% and ROC AUC scores nearing 0.93. This study highlights the potential of deep learning to generate clinical decision support tools to increase the accuracy and effectiveness in the diagnosis and staging of silicosis, whose early detection would allow the patient to be moved away from all sources of occupational exposure, therefore constituting a substantial advancement in occupational health diagnostics.",Blanca Priego-Torres and Daniel Sanchez-Morillo and Ebrahim Khalili and Miguel Ángel Conde-Sánchez and Andrés García-Gámez and Antonio León-Jiménez,PRIEGOTORRES2025110153,https://doi.org/10.1016/j.compbiomed.2025.110153,article,0010-4825,Computers in Biology and Medicine,"Silicosis, Deep learning, Chest X-ray, Progressive massive fibrosis (PMF), Simple silicosis (SS), Engineered stone",,,110153,Automated engineered-stone silicosis screening and staging using Deep Learning with X-rays,https://www.sciencedirect.com/science/article/pii/S0010482525005049,191,2025
